date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210307,ID,172931,33057,505964,,totalTestsPeopleViral,645838,150,7184,33,1245,,,96017,3/6/2021 19:00,2021-03-06T19:00:00Z,03/06 14:00,1879,7184,,2021-03-06T19:00:00Z,1103725,,,139874,1652,227,,645838,,,,,,,,,123809,,16,104,535,678895,396,678895,,3,5,78595a6705d321c83cba079dbee71b6db1897502,0,0,0,0,0,
20210306,ID,172827,32814,505429,,totalTestsPeopleViral,645442,150,7179,33,1245,,,95808,3/5/2021 19:02,2021-03-05T19:02:00Z,03/05 14:02,1876,7179,,2021-03-05T19:02:00Z,1102848,,,140013,1649,227,,645442,,,,,,,,,123809,,16,240,504,678256,646,678256,,0,15,35d8f1d09c758c9e752bbc38a6481a8d7608b9c6,0,0,0,0,0,
20210305,ID,172587,32716,504925,,totalTestsPeopleViral,644796,139,7164,32,1242,,,95524,3/5/2021 11:34,2021-03-05T11:34:00Z,03/05 06:34,1876,7164,,2021-03-05T11:34:00Z,1100276,,,139871,1649,227,,644796,,,,,,,,,123809,,16,299,1234,677512,1438,677512,,0,20,90b36aabf6016cfef8d9282e4ab91eba6e5ae206,0,0,0,0,0,
20210304,ID,172288,32621,503691,,totalTestsPeopleViral,643358,139,7144,32,1241,,,95222,3/3/2021 19:25,2021-03-03T19:25:00Z,03/03 14:25,1876,7144,,2021-03-03T19:25:00Z,1096824,,,139667,1649,227,,643358,,,,,,,,,123809,,16,452,1096,675979,1441,675979,,5,13,e2f9a0ba7e0b3a0a2fa7bd369970320bad2a47a9,0,0,0,0,0,
20210303,ID,171836,32514,502595,,totalTestsPeopleViral,641917,121,7131,32,1239,,,94936,3/3/2021 10:59,2021-03-03T10:59:00Z,03/03 05:59,1871,7131,,2021-03-03T10:59:00Z,1092871,,,139322,1645,226,,641917,,,,,,,,,123809,,16,374,1239,674431,1505,674431,,4,20,89eca05f6b3d98f1dff0376399a19fdc0b00f3da,0,0,0,0,0,
20210302,ID,171462,32406,501356,,totalTestsPeopleViral,640412,121,7111,32,1234,,,94707,3/1/2021 19:04,2021-03-01T19:04:00Z,03/01 14:04,1867,7111,,2021-03-01T19:04:00Z,1088968,,,139056,1641,226,,640412,,,,,,,,,123809,,16,322,1260,672818,1493,672818,,7,35,3ec59adbcf1d7f94ee1b6b3c0cc32643334d84f2,0,0,0,0,0,
20210301,ID,171140,32317,500096,,totalTestsPeopleViral,638919,162,7076,35,1231,,,94230,2/27/2021 19:06,2021-02-27T19:06:00Z,02/27 14:06,1860,7076,,2021-02-27T19:06:00Z,1083384,,,138823,1634,226,,638919,,,,,,,,,123809,,16,0,0,671236,0,671236,,0,0,ed541174e3aaa95276628cfa039c6a4182164f3a,0,0,0,0,0,
20210228,ID,171140,32317,500096,,totalTestsPeopleViral,638919,162,7076,35,1231,,,94230,2/27/2021 19:06,2021-02-27T19:06:00Z,02/27 14:06,1860,7076,,2021-02-27T19:06:00Z,1083384,,,138823,1634,226,,638919,,,,,,,,,123809,,16,233,865,671236,1036,671236,,1,11,e72f2a54a0ccc1e04e3c175a7075d049ee555c3c,0,0,0,0,0,
20210227,ID,170907,32255,499231,,totalTestsPeopleViral,637883,162,7065,35,1229,,,93975,2/26/2021 19:53,2021-02-26T19:53:00Z,02/26 14:53,1859,7065,,2021-02-26T19:53:00Z,1080708,,,138652,1633,226,,637883,,,,,,,,,123809,,16,312,1131,670138,1350,670138,,9,8,48774a6afb3710b2b893aabc1a8d789ee76de3d3,0,0,0,0,0,
20210226,ID,170595,32162,498100,,totalTestsPeopleViral,636533,143,7057,38,1228,,,93679,2/25/2021 19:08,2021-02-25T19:08:00Z,02/25 14:08,1850,7057,,2021-02-25T19:08:00Z,1075256,,,138433,1628,222,,636533,,,,,,,,,123809,,16,306,1037,668695,1219,668695,,10,13,2faa43f0de29f0fd2dc5b646b283992b8e371f71,0,0,0,0,0,
20210225,ID,170289,32038,497063,,totalTestsPeopleViral,635314,143,7044,38,1229,,,93252,2/25/2021 15:48,2021-02-25T15:48:00Z,02/25 10:48,1840,7044,,2021-02-25T15:48:00Z,1070527,,,138251,1620,220,,635314,,,,,,,,,123809,,16,423,1212,667352,1456,667352,,0,11,66989ea1e0a17d2167d35b75e6b8c9363f8dfbd7,0,0,0,0,0,
20210224,ID,169866,31859,495851,,totalTestsPeopleViral,633858,110,7033,25,1227,,,92859,2/23/2021 19:00,2021-02-23T19:00:00Z,02/23 14:00,1840,7033,,2021-02-23T19:00:00Z,1066095,,,138007,1620,220,,633858,,,,,,,,,123809,,16,282,1078,665717,1297,665717,,14,26,250773c2c22ee225c9d5bc25bb7cd7c27a43fa29,0,0,0,0,0,
20210223,ID,169584,31796,494773,,totalTestsPeopleViral,632561,110,7007,25,1224,,,92573,2/22/2021 19:00,2021-02-22T19:00:00Z,02/22 14:00,1826,7007,,2021-02-22T19:00:00Z,1062630,,,137788,1607,219,,632561,,,,,,,,,123809,,16,434,1479,664357,1837,664357,,0,24,48b04558f796b4ab20a5ea2742adfaa8685e5e66,0,0,0,0,0,
20210222,ID,169150,31720,493294,,totalTestsPeopleViral,630724,142,6983,37,1220,,,91926,2/20/2021 19:00,2021-02-20T19:00:00Z,02/20 14:00,1826,6983,,2021-02-20T19:00:00Z,1059842,,,137430,1607,219,,630724,,,,,,,,,123809,,16,0,0,662444,0,662444,,0,0,267e723130f8012c9b97f4d637afedca5d4d71b5,0,0,0,0,0,
20210221,ID,169150,31720,493294,,totalTestsPeopleViral,630724,142,6983,37,1220,,,91926,2/20/2021 19:00,2021-02-20T19:00:00Z,02/20 14:00,1826,6983,,2021-02-20T19:00:00Z,1059842,,,137430,1607,219,,630724,,,,,,,,,123809,,16,197,926,662444,1077,662444,,0,10,0f1b4b8d84de7ce24683d43d9bed041d9138cdbe,0,0,0,0,0,
20210220,ID,168953,31674,492368,,totalTestsPeopleViral,629647,142,6973,37,1219,,,91637,2/19/2021 19:00,2021-02-19T19:00:00Z,02/19 14:00,1826,6973,,2021-02-19T19:00:00Z,1056739,,,137279,1607,219,,629647,,,,,,,,,123809,,16,314,1105,661321,1380,661321,,0,9,5c29ec8a65250947dfedf93d8b47ac9a2b01fa0d,0,0,0,0,0,
20210219,ID,168639,31635,491263,,totalTestsPeopleViral,628267,164,6964,37,1218,,,91241,2/18/2021 19:00,2021-02-18T19:00:00Z,02/18 14:00,1826,6964,,2021-02-18T19:00:00Z,1052070,,,137004,1607,219,,628267,,,,,,,,,123809,,16,286,1397,659902,1591,659902,,9,17,aadf33735b78513046fa074f756c77b75af342d3,0,0,0,0,0,
20210218,ID,168353,31543,489866,,totalTestsPeopleViral,626676,164,6947,37,1214,,,90706,2/17/2021 19:00,2021-02-17T19:00:00Z,02/17 14:00,1817,6947,,2021-02-17T19:00:00Z,1047880,,,136810,1600,217,,626676,,,,,,,,,78973,,16,408,1060,658219,1357,658219,,11,14,52f9ac74974bfb9073ccdb8cd75790b7ea4a8ccc,0,0,0,0,0,
20210217,ID,167945,31432,488806,,totalTestsPeopleViral,625319,177,6933,38,1206,,,90300,2/16/2021 19:00,2021-02-16T19:00:00Z,02/16 14:00,1806,6933,,2021-02-16T19:00:00Z,1043924,,,136513,1589,217,,625319,,,,,,,,,78973,,16,462,2602,656751,2966,656751,,3,43,ba6db79e922e6a879aa8234057978c4314d41df9,0,0,0,0,0,
20210216,ID,167483,31334,486204,,totalTestsPeopleViral,622353,180,6890,45,1206,,,89410,2/14/2021 19:00,2021-02-14T19:00:00Z,02/14 14:00,1803,6890,,2021-02-14T19:00:00Z,1035119,,,136149,1587,216,,622353,,,,,,,,,78973,,16,0,0,653687,0,653687,,0,0,786e02ff47be8fe4ca2f8e34dae4fb2fcb40d692,0,0,0,0,0,
20210215,ID,167483,31334,486204,,totalTestsPeopleViral,622353,180,6890,45,1206,,,89410,2/14/2021 19:00,2021-02-14T19:00:00Z,02/14 14:00,1803,6890,,2021-02-14T19:00:00Z,1035119,,,136149,1587,216,,622353,,,,,,,,,78973,,16,0,0,653687,0,653687,,0,0,281581faa343c2636fa68213f3d7a095977091ba,0,0,0,0,0,
20210214,ID,167483,31334,486204,,totalTestsPeopleViral,622353,180,6890,45,1206,,,89410,2/13/2021 19:00,2021-02-13T19:00:00Z,02/13 14:00,1803,6890,,2021-02-13T19:00:00Z,1035119,,,136149,1587,216,,622353,,,,,,,,,78973,,16,258,726,653687,926,653687,,7,15,836983696463c63c188a3bba6b72ddc0bac69fce,0,0,0,0,0,
20210213,ID,167225,31276,485478,,totalTestsPeopleViral,621427,180,6875,45,1204,,,89126,2/12/2021 19:00,2021-02-12T19:00:00Z,02/12 14:00,1796,6875,,2021-02-12T19:00:00Z,1032823,,,135949,1582,214,,621427,,,,,,,,,78973,,16,349,1246,652703,1484,652703,,5,23,2e927955fb87fd54aa5176b6b319082a6834c503,0,0,0,0,0,
20210212,ID,166876,31165,484232,,totalTestsPeopleViral,619943,176,6852,37,1201,,,88672,2/11/2021 19:00,2021-02-11T19:00:00Z,02/11 14:00,1791,6852,,2021-02-11T19:00:00Z,1027856,,,135711,1577,214,,619943,,,,,,,,,78973,,16,323,1472,651108,1720,651108,,0,14,2f5661f4047770d78f2c1c28bb990b6e5da0a6f1,0,0,0,0,0,
20210211,ID,166553,31090,482760,,totalTestsPeopleViral,618223,176,6838,37,1199,,,88126,2/10/2021 19:00,2021-02-10T19:00:00Z,02/10 14:00,1791,6838,,2021-02-10T19:00:00Z,1022527,,,135463,1577,214,,618223,,,,,,,,,78973,,16,458,1021,649313,1366,649313,,11,-1,a17710ff814d2ab15d1f3ecd69021639f44e526e,0,0,0,0,0,
20210210,ID,166095,30977,481739,,totalTestsPeopleViral,616857,178,6839,39,1194,,,87505,2/9/2021 19:00,2021-02-09T19:00:00Z,02/09 14:00,1780,6839,,2021-02-09T19:00:00Z,1018052,,,135118,1567,213,,616857,,,,,,,,,78973,,16,437,1287,647834,1587,647834,,4,20,44c2792b3c648ecf594bf5422f9984990d724e74,0,0,0,0,0,
20210209,ID,165658,30840,480452,,totalTestsPeopleViral,615270,178,6819,39,1191,,,86880,2/8/2021 19:00,2021-02-08T19:00:00Z,02/08 14:00,1776,6819,,2021-02-08T19:00:00Z,1018052,,,134818,1562,214,,615270,,,,,,,,,78973,,16,449,1685,646110,2060,646110,,9,26,a0ce339eeeb57f9a5a18dbce55169cee8468785e,0,0,0,0,0,
20210208,ID,165209,30766,478767,,totalTestsPeopleViral,613210,207,6793,41,1184,,,86078,2/6/2021 19:00,2021-02-06T19:00:00Z,02/06 14:00,1767,6793,,2021-02-06T19:00:00Z,1014556,,,134443,1553,214,,613210,,,,,,,,,78973,,16,0,0,643976,0,643976,,0,0,89b111d544fe0d697550c4074019cac3f051f149,0,0,0,0,0,
20210207,ID,165209,30766,478767,,totalTestsPeopleViral,613210,207,6793,41,1184,,,86078,2/6/2021 19:00,2021-02-06T19:00:00Z,02/06 14:00,1767,6793,,2021-02-06T19:00:00Z,1014556,,,134443,1553,214,,613210,,,,,,,,,78973,,16,240,951,643976,1129,643976,,9,8,6985c857a373574f296792f88242291d640e66c7,0,0,0,0,0,
20210206,ID,164969,30704,477816,,totalTestsPeopleViral,612081,199,6785,41,1184,,,85439,2/5/2021 19:00,2021-02-05T19:00:00Z,02/05 14:00,1758,6785,,2021-02-05T19:00:00Z,1011836,,,134265,1544,214,,612081,,,,,,,,,78973,,16,404,1119,642785,1445,642785,,11,14,83dcb049bdaa44748584894c27d8309ac45ea374,0,0,0,0,0,
20210205,ID,164565,30626,476697,,totalTestsPeopleViral,610636,203,6771,47,1183,,,84824,2/4/2021 19:00,2021-02-04T19:00:00Z,02/04 14:00,1747,6771,,2021-02-04T19:00:00Z,1007899,,,133939,1533,214,,610636,,,,,,,,,78973,,16,402,1432,641262,1740,641262,,-1,22,c7ee0137083f794c2b83a5432b02971409fee370,0,0,0,0,0,
20210204,ID,164163,30532,475265,,totalTestsPeopleViral,608896,203,6749,47,1181,,,84159,2/3/2021 19:00,2021-02-03T19:00:00Z,02/03 14:00,1748,6749,,2021-02-03T19:00:00Z,1002998,,,133631,1534,214,,608896,,,,,,,,,78973,,16,507,1388,639428,1781,639428,,7,17,00d0efc1fc2f8a68037a435bfb6d3062ddaf007d,0,0,0,0,0,
20210203,ID,163656,30418,473877,,totalTestsPeopleViral,607115,157,6732,46,1176,,,83336,2/2/2021 19:00,2021-02-02T19:00:00Z,02/02 14:00,1741,6732,,2021-02-02T19:00:00Z,997625,,,133238,1527,214,,607115,,,,,,,,,78973,,16,491,1498,637533,1878,637533,,6,30,9e01f532a7d539e44c021ec53ac26d1f40587a84,0,0,0,0,0,
20210202,ID,163165,30307,472379,,totalTestsPeopleViral,605237,157,6702,46,1172,,,82721,2/1/2021 19:00,2021-02-01T19:00:00Z,02/01 14:00,1735,6702,,2021-02-01T19:00:00Z,993978,,,132858,1522,213,,605237,,,,,,,,,78973,,16,482,1742,635544,2122,635544,,10,28,f86ccb187d8824688c93b5bcb1520315ebf90702,0,0,0,0,0,
20210201,ID,162683,30205,470637,,totalTestsPeopleViral,603115,225,6674,57,1169,,,81591,1/30/2021 19:00,2021-01-30T19:00:00Z,01/30 14:00,1725,6674,,2021-01-30T19:00:00Z,990444,,,132478,1513,212,,603115,,,,,,,,,78973,,16,0,0,633320,0,633320,,0,0,bf85eb6e9a6b26c243f128f9b7c4e1679ee6f45c,0,0,0,0,0,
20210131,ID,162683,30205,470637,,totalTestsPeopleViral,603115,225,6674,57,1169,,,81591,1/30/2021 19:00,2021-01-30T19:00:00Z,01/30 14:00,1725,6674,,2021-01-30T19:00:00Z,990444,,,132478,1513,212,,603115,,,,,,,,,78973,,16,328,1208,633320,1469,633320,,0,15,6335c937329f03735ef0e0d32194f0726d18fef3,0,0,0,0,0,
20210130,ID,162355,30138,469429,,totalTestsPeopleViral,601646,225,6659,57,1165,,,81034,1/29/2021 19:00,2021-01-29T19:00:00Z,01/29 14:00,1725,6659,,2021-01-29T19:00:00Z,987111,,,132217,1513,212,,601646,,,,,,,,,78973,,16,635,1475,631784,2010,631784,,4,30,19320fede15a1fa769d93957858fc95576406e70,0,0,0,0,0,
20210129,ID,161720,30038,467954,,totalTestsPeopleViral,599636,241,6629,64,1157,,,80252,1/28/2021 19:00,2021-01-28T19:00:00Z,01/28 14:00,1721,6629,,2021-01-28T19:00:00Z,981362,,,131682,1508,213,,599636,,,,,,,,,78973,,16,508,1799,629674,2123,629674,,7,25,a054d659c6e7832e13de15ea53475ce5598d4e6c,0,0,0,0,0,
20210128,ID,161212,29854,466155,,totalTestsPeopleViral,597513,241,6604,64,1153,,,79298,1/27/2021 19:00,2021-01-27T19:00:00Z,01/27 14:00,1714,6604,,2021-01-27T19:00:00Z,975555,,,131358,1501,213,,597513,,,,,,,,,78973,,16,620,1876,627367,2326,627367,,26,44,cbfe6a0cd4ae3e5841a5908c748257031398b268,0,0,0,0,0,
20210127,ID,160592,29684,464279,,totalTestsPeopleViral,595187,241,6560,64,1144,,,78246,1/26/2021 19:00,2021-01-26T19:00:00Z,01/26 14:00,1688,6560,,2021-01-26T19:00:00Z,970325,,,130908,1481,207,,595187,,,,,,,,,78973,,16,559,2151,624871,2540,624871,,7,35,a07ebcdebb594341d1b0e0aef88a04b95ad5068a,0,0,0,0,0,
20210126,ID,160033,29514,462128,,totalTestsPeopleViral,592647,169,6525,53,1135,,,77351,1/25/2021 19:00,2021-01-25T19:00:00Z,01/25 14:00,1681,6525,,2021-01-25T19:00:00Z,966258,,,130519,1475,206,,592647,,,,,,,,,78973,,16,527,1266,622161,1680,622161,,12,29,154aa261fcfc30d01e680083c3a0ab7fca7088d9,0,0,0,0,0,
20210125,ID,159506,29401,460862,,totalTestsPeopleViral,590967,252,6496,67,1129,,,76392,1/24/2021 19:00,2021-01-24T19:00:00Z,01/24 14:00,1669,6496,,2021-01-24T19:00:00Z,961106,,,130105,1464,205,,590967,,,,,,,,,78973,,16,181,1188,620368,1338,620368,,1,15,bdcb79b8682969b9bfb15fcedca52d8ac360ab0e,0,0,0,0,0,
20210124,ID,159325,29370,459674,,totalTestsPeopleViral,589629,252,6481,67,1127,,,75752,1/23/2021 19:00,2021-01-23T19:00:00Z,01/23 14:00,1668,6481,,2021-01-23T19:00:00Z,958656,,,129955,1464,204,,589629,,,,,,,,,78973,,16,527,1359,618999,1802,618999,,1,17,fca23580718b09069ed2d44206f72d1466bfa067,0,0,0,0,0,
20210123,ID,158798,29286,458315,,totalTestsPeopleViral,587827,252,6464,67,1127,,,75041,1/22/2021 19:00,2021-01-22T19:00:00Z,01/22 14:00,1667,6464,,2021-01-22T19:00:00Z,954658,,,129512,1462,205,,587827,,,,,,,,,78973,,16,598,2019,617113,2468,617113,,13,24,039321214928b0d0b614c6eb0c84193a05b4cfe0,0,0,0,0,0,
20210122,ID,158200,29137,456296,,totalTestsPeopleViral,585359,286,6440,71,1125,,,74269,1/21/2021 19:00,2021-01-21T19:00:00Z,01/21 14:00,1654,6440,,2021-01-21T19:00:00Z,947759,,,129063,1452,202,,585359,,,,,,,,,78973,,16,612,1488,614496,1918,614496,,19,34,e7f505ac3cd67dca7d75263d0051f8ca0bcc071b,0,0,0,0,0,
20210121,ID,157588,28955,454808,,totalTestsPeopleViral,583441,286,6406,71,1117,,,73517,1/20/2021 19:00,2021-01-20T19:00:00Z,01/20 14:00,1635,6406,,2021-01-20T19:00:00Z,942272,,,128633,1436,199,,583441,,,,,,,,,78973,,16,810,1576,612396,2142,612396,,-2,36,1ab93d735766f99922201dd8bbf2e22bce717f26,0,0,0,0,0,
20210120,ID,156778,28711,453232,,totalTestsPeopleViral,581299,266,6370,77,1114,,,72711,1/19/2021 19:00,2021-01-19T19:00:00Z,01/19 14:00,1637,6370,,2021-01-19T19:00:00Z,937399,,,128067,1438,199,,581299,,,,,,,,,78973,,16,1224,2386,610010,3361,610010,,30,63,8372e259814113daab8d39fb156f8ba31632d28a,0,0,0,0,0,
20210119,ID,155554,28462,450846,,totalTestsPeopleViral,577938,345,6307,90,1106,,,71374,1/17/2021 19:00,2021-01-17T19:00:00Z,01/17 14:00,1607,6307,,2021-01-17T19:00:00Z,929598,,,127092,1415,192,,577938,,,,,,,,,78973,,16,0,0,606400,0,606400,,0,0,2e11fb4667bcf219c2e289cb20bbfaf6bd9f0868,0,0,0,0,0,
20210118,ID,155554,28462,450846,,totalTestsPeopleViral,577938,345,6307,90,1106,,,71374,1/17/2021 19:00,2021-01-17T19:00:00Z,01/17 14:00,1607,6307,,2021-01-17T19:00:00Z,929598,,,127092,1415,192,,577938,,,,,,,,,78973,,16,278,1783,606400,1930,606400,,2,12,271d585cdcead197f5146595a663e68a6850cb6e,0,0,0,0,0,
20210117,ID,155276,28331,449063,,totalTestsPeopleViral,576008,345,6295,90,1103,,,70736,1/16/2021 19:00,2021-01-16T19:00:00Z,01/16 14:00,1605,6295,,2021-01-16T19:00:00Z,926337,,,126945,1414,191,,576008,,,,,,,,,78973,,16,806,1197,604339,1720,604339,,2,26,36889d9b4cc6dac65e5bcc145597e6524192b769,0,0,0,0,0,
20210116,ID,154470,28048,447866,,totalTestsPeopleViral,574288,345,6269,90,1098,,,70163,1/15/2021 19:00,2021-01-15T19:00:00Z,01/15 14:00,1603,6269,,2021-01-15T19:00:00Z,923207,,,126422,1412,191,,574288,,,,,,,,,78973,,16,1112,1804,602336,2475,602336,,12,44,35ca641256f72fd44cf12678a36c288d073f590e,0,0,0,0,0,
20210115,ID,153358,27607,446062,,totalTestsPeopleViral,571813,338,6225,88,1091,,,69460,1/14/2021 19:00,2021-01-14T19:00:00Z,01/14 14:00,1591,6225,,2021-01-14T19:00:00Z,917901,,,125751,1401,190,,571813,,,,,,,,,78973,,16,994,1899,599420,2614,599420,,27,47,008f7ec8310e0653ee14d4a94660f69fcf31eb13,0,0,0,0,0,
20210114,ID,152364,27328,444163,,totalTestsPeopleViral,569199,338,6178,88,1084,,,68657,1/13/2021 19:00,2021-01-13T19:00:00Z,01/13 14:00,1564,6178,,2021-01-13T19:00:00Z,909722,,,125036,1378,186,,569199,,,,,,,,,78973,,16,1091,2186,596527,2974,596527,,8,50,b6cb4d04263795035548487f2fb04e779b94c462,0,0,0,0,0,
20210113,ID,151273,27025,441977,,totalTestsPeopleViral,566225,283,6128,72,1076,,,67633,1/12/2021 19:00,2021-01-12T19:00:00Z,01/12 14:00,1556,6128,,2021-01-12T19:00:00Z,903361,,,124248,1373,183,,566225,,,,,,,,,78973,,16,1034,779,593250,1510,593250,,12,49,a8f062867197d476a61c5b0516eef5ad8862aa42,0,0,0,0,0,
20210112,ID,150239,26722,441198,,totalTestsPeopleViral,564715,283,6079,72,1076,,,66796,1/11/2021 19:00,2021-01-11T19:00:00Z,01/11 14:00,1544,6079,,2021-01-11T19:00:00Z,899887,,,123517,1363,179,,564715,,,,,,,,,78973,,16,572,1560,591437,2000,591437,,10,42,e99c8145e69051e5a11024198b169ffd0604bdfa,0,0,0,0,0,
20210111,ID,149667,26590,439638,,totalTestsPeopleViral,562715,375,6037,76,1074,,,66012,1/10/2021 19:00,2021-01-10T19:00:00Z,01/10 14:00,1534,6037,,2021-01-10T19:00:00Z,895449,,,123077,1355,179,,562715,,,,,,,,,78973,,16,432,1067,589305,1408,589305,,6,22,8aa3387b069d6069e3eaad035990605a11d9a3ef,0,0,0,0,0,
20210110,ID,149235,26499,438571,,totalTestsPeopleViral,561307,375,6015,76,1070,,,64785,1/9/2021 19:00,2021-01-09T19:00:00Z,01/09 14:00,1528,6015,,2021-01-09T19:00:00Z,893010,,,122736,1349,179,,561307,,,,,,,,,78973,,16,977,1154,587806,1936,587806,,5,20,9b4b08312b3d660a85d4cef74af3dff4ff57bf20,0,0,0,0,0,
20210109,ID,148258,26304,437417,,totalTestsPeopleViral,559371,375,5995,76,1062,,,64538,1/8/2021 19:00,2021-01-08T19:00:00Z,01/08 14:00,1523,5995,,2021-01-08T19:00:00Z,888716,,,121954,1344,179,,559371,,,,,,,,,78973,,16,1085,1389,585675,2227,585675,,6,57,16af56a2662477117d257b93fe98778b8775061d,0,0,0,0,0,
20210108,ID,147173,26057,436028,,totalTestsPeopleViral,557144,366,5938,77,1055,,,63778,1/7/2021 19:00,2021-01-07T19:00:00Z,01/07 14:00,1517,5938,,2021-01-07T19:00:00Z,881852,,,121116,1339,178,,557144,,,,,,,,,78973,,16,1067,2126,583201,2848,583201,,29,67,b8c174af2c40f700d20e6012e9492d06a915d898,0,0,0,0,0,
20210107,ID,146106,25712,433902,,totalTestsPeopleViral,554296,366,5871,77,1043,,,63097,1/6/2021 19:00,2021-01-06T19:00:00Z,01/06 14:00,1488,5871,,2021-01-06T19:00:00Z,876370,,,120394,1313,175,,554296,,,,,,,,,52274,,16,1263,1337,580008,2270,580008,,17,47,71bae0b971814db52b9e762bdb6e3ef8b8c28df6,0,0,0,0,0,
20210106,ID,144843,25382,432565,,totalTestsPeopleViral,552026,254,5824,54,1040,,,62215,1/5/2021 19:00,2021-01-05T19:00:00Z,01/05 14:00,1471,5824,,2021-01-05T19:00:00Z,871888,,,119461,1298,173,,552026,,,,,,,,,52274,,16,1538,735,577408,1718,577408,,12,79,c8e2bb361b39df2072763e6c0d729d7f596e9692,0,0,0,0,0,
20210105,ID,143305,24827,431830,,totalTestsPeopleViral,550308,254,5745,54,1036,,,61493,1/4/2021 19:00,2021-01-04T19:00:00Z,01/04 14:00,1459,5745,,2021-01-04T19:00:00Z,867462,,,118478,1290,169,,550308,,,,,,,,,52274,,16,798,629,575135,1209,575135,,11,39,4c31754e90fde4b7f1170482fc0466c503968ea0,0,0,0,0,0,
20210104,ID,142507,24609,431201,,totalTestsPeopleViral,549099,352,5706,84,1030,,,60820,1/3/2021 19:00,2021-01-03T19:00:00Z,01/03 14:00,1448,5706,,2021-01-03T19:00:00Z,863660,,,117898,1281,167,,549099,,,,,,,,,52274,,16,308,829,573708,1091,573708,,0,19,de1e8cfe0c45601d4fe2766f6ba87e5a468defd6,0,0,0,0,0,
20210103,ID,142199,24563,430372,,totalTestsPeopleViral,548008,352,5687,84,1024,,,60164,1/2/2021 19:00,2021-01-02T19:00:00Z,01/02 14:00,1448,5687,,2021-01-02T19:00:00Z,861643,,,117636,1281,167,,548008,,,,,,,,,52274,,16,1122,1604,572571,2523,572571,,12,57,a07dee66da3d165defb1cd91b9724a94dde54fed,0,0,0,0,0,
20210102,ID,141077,24360,428768,,totalTestsPeopleViral,545485,375,5630,85,1018,,,58649,12/31/2020 19:00,2020-12-31T19:00:00Z,12/31 14:00,1436,5630,,2020-12-31T19:00:00Z,859851,,,116717,1269,167,,545485,,,,,,,,,52274,,16,0,0,569845,0,569845,,0,0,960072397c8bc8e545b90b728ce161a57ade2795,0,0,0,0,0,
20210101,ID,141077,24360,428768,,totalTestsPeopleViral,545485,375,5630,85,1018,,,58649,12/31/2020 19:00,2020-12-31T19:00:00Z,12/31 14:00,1436,5630,,2020-12-31T19:00:00Z,859851,,,116717,1269,167,,545485,,,,,,,,,52274,,16,1213,1350,569845,2217,569845,,33,63,ecfb8d5ee5ff6e86d4e2781a793daaef935d6649,0,0,0,0,0,
20201231,ID,139864,24014,427418,,totalTestsPeopleViral,543268,375,5567,85,1012,,,57770,12/30/2020 19:00,2020-12-30T19:00:00Z,12/30 14:00,1403,5567,,2020-12-30T19:00:00Z,855567,,,115850,1240,163,,543268,,,,,,,,,52274,,16,1340,1781,567282,2798,567282,,10,48,775eb72f7298eaeb2405d725771110e3b1e23728,0,0,0,0,0,
20201230,ID,138524,23691,425637,,totalTestsPeopleViral,540470,280,5519,77,1003,,,56799,12/29/2020 19:00,2020-12-29T19:00:00Z,12/29 14:00,1393,5519,,2020-12-29T19:00:00Z,850169,,,114833,1232,161,,540470,,,,,,,,,52274,,16,1514,492,564161,1590,564161,,16,43,a9fc519f6144356cf95f46c60e8810a58f747697,0,0,0,0,0,
20201229,ID,137010,23275,425145,,totalTestsPeopleViral,538880,280,5476,77,999,,,55959,12/28/2020 19:00,2020-12-28T19:00:00Z,12/28 14:00,1377,5476,,2020-12-28T19:00:00Z,846888,,,113735,1216,161,,538880,,,,,,,,,52274,,16,795,778,562155,1344,562155,,23,51,27cd5812c5b4472a2db5a8858d8b03505d0700f2,0,0,0,0,0,
20201228,ID,136215,23046,424367,,totalTestsPeopleViral,537536,393,5425,95,993,,,55186,12/27/2020 19:00,2020-12-27T19:00:00Z,12/27 14:00,1354,5425,,2020-12-27T19:00:00Z,842238,,,113169,1195,159,,537536,,,,,,,,,52274,,16,428,438,560582,769,560582,,0,33,a26f88317a9894ce76a4888127481ddadc2e7547,0,0,0,0,0,
