date,state,positive,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200923,AK,7941,425257,,,433198,2007,43,,,,14,,2731,A,9/23/2020 03:59,2020-09-23T03:59:00Z,09/22 23:59,45,,2020-09-23T03:59:00Z,433198,7180,425736,7941,45,,,,,,,,,,,,,,02,55,1952,433198,433198,0,0,f0c8f1f471268a90c798d7857eb2cd2b4652cd01,0,0,0,0,0,
20200922,AK,7886,423305,,,431191,2546,43,,,,14,,2668,A,9/22/2020 03:59,2020-09-22T03:59:00Z,09/21 23:59,45,,2020-09-22T03:59:00Z,431191,7147,423762,7886,45,,,,,,,,,,,,,,02,48,2498,431191,431191,0,0,d10f9b9ced425646c53b296865fd62ee8c43ee77,0,0,0,0,0,
20200921,AK,7838,420807,,,428645,1720,47,,,,13,,2439,A,9/21/2020 03:59,2020-09-21T03:59:00Z,09/20 23:59,45,,2020-09-21T03:59:00Z,428645,7089,421275,7838,45,,,,,,,,,,,,,,02,71,1649,428645,428645,0,0,b0c1c59093b164eec0424a2cd8bd724dfd5d870d,0,0,0,0,0,
20200920,AK,7767,419158,,,426925,4075,43,,,,13,,2438,A,9/20/2020 03:59,2020-09-20T03:59:00Z,09/19 23:59,45,,2020-09-20T03:59:00Z,426925,7061,419584,7767,45,,,,,,,,,,,,,,02,93,3982,426925,426925,0,0,46abffa11fedff6f011f8a5d51d0baddbda83201,0,0,0,0,0,
20200919,AK,7674,415176,,,422850,4557,41,,,,13,,2438,A,9/19/2020 03:59,2020-09-19T03:59:00Z,09/18 23:59,45,,2020-09-19T03:59:00Z,422850,6970,415600,7674,45,,,,,,,,,,,,,,02,87,4470,422850,422850,0,0,50affc5c80037f756738aecfbe27d6a3801337db,0,0,0,0,0,
20200918,AK,7587,410706,,,418293,2430,36,,,,13,,2422,A,9/18/2020 03:59,2020-09-18T03:59:00Z,09/17 23:59,45,,2020-09-18T03:59:00Z,418293,6865,411148,7587,45,,,,,,,,,,,,,,02,116,2314,418293,418293,1,0,496ccda09465227d6752b3c65f710f16d022952c,0,0,0,0,0,
20200917,AK,7471,408392,,,415863,7299,41,,,,13,,2408,A,9/17/2020 03:59,2020-09-17T03:59:00Z,09/16 23:59,44,,2020-09-17T03:59:00Z,415863,6814,408769,7471,44,,,,,,,,,,,,,,02,106,7193,415863,415863,0,0,68d77ad6f3d8c118c640af5bc27208faf7c9dadc,0,0,0,0,0,
20200916,AK,7365,401199,,,408564,1440,45,,,,9,,2407,A,9/16/2020 03:59,2020-09-16T03:59:00Z,09/15 23:59,44,,2020-09-16T03:59:00Z,408564,6669,401615,7365,44,,,,,,,,,,,,,,02,52,1388,408564,408564,0,0,df7c8d1afd3495fc6f5c8199247ffd1805c4e13b,0,0,0,0,0,
20200915,AK,7313,399811,,,407124,3711,44,,,,8,,2402,A,9/15/2020 03:59,2020-09-15T03:59:00Z,09/14 23:59,44,,2020-09-15T03:59:00Z,407124,6637,400207,7313,44,,,,,,,,,,,,,,02,43,3668,407124,407124,0,0,34840df4eb3f6ab5b596057bc26d1a9903f2606c,0,0,0,0,0,
20200914,AK,7270,396143,,,403413,2200,37,,,,8,,2377,A,9/14/2020 03:59,2020-09-14T03:59:00Z,09/13 23:59,44,,2020-09-14T03:59:00Z,403413,6533,396600,7270,44,,,,,,,,,,,,,,02,77,2123,403413,403413,0,0,f8c6317894653275396afc76dd704befed11f98d,0,0,0,0,0,
20200913,AK,7193,394020,,,401213,1584,35,,,,8,,2377,A,9/13/2020 03:59,2020-09-13T03:59:00Z,09/12 23:59,44,,2020-09-13T03:59:00Z,401213,6481,394452,7193,44,,,,,,,,,,,,,,02,62,1522,401213,401213,0,0,4523fc585da4892a4b8887aa418fc57c8a163ade,0,0,0,0,0,
20200912,AK,7131,392498,,,399629,5043,32,,,,8,,2377,A,9/12/2020 03:59,2020-09-12T03:59:00Z,09/11 23:59,44,,2020-09-12T03:59:00Z,399629,6428,392921,7131,44,,,,,,,,,,,,,,02,107,4936,399629,399629,1,0,11515708282a1d8b45b89623b326fc1f7d58ba41,0,0,0,0,0,
20200911,AK,7024,387562,,,394586,1509,44,,,,7,,2359,A,9/11/2020 03:59,2020-09-11T03:59:00Z,09/10 23:59,43,,2020-09-11T03:59:00Z,394586,6340,387966,7024,43,,,,,,,,,,,,,,02,109,1400,394586,394586,1,0,05fd5003196fb969050c933794fe5e22362682d2,0,0,0,0,0,
20200910,AK,6915,386162,,,393077,1140,42,,,,10,,2351,A,9/10/2020 03:59,2020-09-10T03:59:00Z,09/09 23:59,42,,2020-09-10T03:59:00Z,393077,6316,386481,6915,42,,,,,,,,,,,,,,02,125,1015,393077,393077,0,0,64fb0142401af981c2b725405f3542961229692c,0,0,0,0,0,
20200909,AK,6790,385147,,,391937,281,40,,,,10,,2340,A,9/9/2020 03:59,2020-09-09T03:59:00Z,09/08 23:59,42,,2020-09-09T03:59:00Z,391937,6305,385352,6790,42,,,,,,,,,,,,,,02,66,215,391937,391937,0,0,f90c7dfb406dcfd14b41acb3e5dc71ea07d3be34,0,0,0,0,0,
20200908,AK,6724,384932,,,391656,3035,41,,,,8,,2339,A,9/8/2020 03:59,2020-09-08T03:59:00Z,09/07 23:59,42,,2020-09-08T03:59:00Z,391656,6302,385074,6724,42,,,,,,,,,,,,,,02,34,3001,391656,391656,0,0,9d40ca19edf080433f08de0c586e4247513886ac,0,0,0,0,0,
20200907,AK,6690,381931,,,388621,1564,36,,,,8,,2323,A,9/7/2020 03:59,2020-09-07T03:59:00Z,09/06 23:59,42,,2020-09-07T03:59:00Z,388621,6236,382106,6690,42,,,,,,,,,,,,,,02,34,1530,388621,388621,0,0,c06e1ab9a510a446b9fa1648e9ade03f33277e64,0,0,0,0,0,
20200906,AK,6656,380401,,,387057,2055,41,,,,7,,2323,A,9/6/2020 03:59,2020-09-06T03:59:00Z,09/05 23:59,42,,2020-09-06T03:59:00Z,387057,6210,380568,6656,42,,,,,,,,,,,,,,02,89,1966,387057,387057,0,0,61f07c0cce97fd3ab5adffe4fac1dc7c5f37e844,0,0,0,0,0,
20200905,AK,6567,378435,,,385002,3065,36,,,,8,,2321,A,9/5/2020 03:59,2020-09-05T03:59:00Z,09/04 23:59,42,,2020-09-05T03:59:00Z,385002,6169,378554,6567,42,,,,,,,,,,,,,,02,98,2967,385002,385002,2,0,0846d21d1047224c10a58fb5de6137d831c76114,0,0,0,0,0,
20200904,AK,6469,375468,,,381937,4001,43,,,,4,,2295,A,9/4/2020 03:59,2020-09-04T03:59:00Z,09/03 23:59,40,,2020-09-04T03:59:00Z,381937,6115,375546,6469,40,,,,,,,,,,,,,,02,130,3871,381937,381937,0,0,7ec3cd6de0cf2143dee03a3b1f1c847ba9172f9f,0,0,0,0,0,
20200903,AK,6339,371597,,,377936,1052,43,,,,8,,2288,A,9/3/2020 03:59,2020-09-03T03:59:00Z,09/02 23:59,40,,2020-09-03T03:59:00Z,377936,6022,371638,6339,40,,,,,,,,,,,,,,02,106,946,377936,377936,1,0,9cbfdb1b331fa4fa64a0c4b3e3126c65e80fa2eb,0,0,0,0,0,
20200902,AK,6233,370651,,,376884,2629,46,,,,10,,2281,A,9/2/2020 03:59,2020-09-02T03:59:00Z,09/01 23:59,39,,2020-09-02T03:59:00Z,376884,6010,370557,6233,39,,,,,,,,,,,,,,02,73,2556,376884,376884,0,0,2e9ebe4a81ffecd05f9b0b66547cd639b0f79f35,0,0,0,0,0,
20200901,AK,6160,368095,,,374255,25625,41,,,,9,,2246,A,9/1/2020 03:59,2020-09-01T03:59:00Z,08/31 23:59,39,,2020-09-01T03:59:00Z,374255,5974,367949,6160,39,,,,,,,,,,,,,,02,35,25590,374255,374255,2,0,136a6a6e330cd5972cc4040c23ed75a622d947df,0,0,0,0,0,
20200831,AK,6125,342505,,,348630,1791,39,,,,8,,2238,A,8/31/2020 03:59,2020-08-31T03:59:00Z,08/30 23:59,37,,2020-08-31T03:59:00Z,348630,5598,342703,6125,37,,,,,,,,,,,,,,02,39,1752,348630,348630,0,0,372be8d625e3af5ee6236b38e506cff5f1eaa491,0,0,0,0,0,
20200830,AK,6086,340753,,,346839,1144,41,,,,8,,2233,A,8/31/2020 03:59,2020-08-31T03:59:00Z,08/30 23:59,37,,2020-08-31T03:59:00Z,346839,5568,340942,6086,37,,,,,,,,,,,,,,02,51,1093,346839,346839,0,0,b68d8ac061cd0beb9d4ea6638f954ceda70a8d12,0,0,0,0,0,
20200829,AK,6035,339660,,,345695,6157,43,,,,7,,2201,A,8/29/2020 03:59,2020-08-29T03:59:00Z,08/28 23:59,37,,2020-08-29T03:59:00Z,345695,5558,339808,6035,37,,,,,,,,,,,,,,02,112,6045,345695,345695,0,0,273099ddbf4e967d94da1bdd0143071fc54ac1bd,0,0,0,0,0,
20200828,AK,5923,333615,,,339538,3318,37,,,,8,,2183,A,8/28/2020 03:59,2020-08-28T03:59:00Z,08/27 23:59,37,,2020-08-28T03:59:00Z,339538,5359,333850,5923,37,,,,,,,,,,,,,,02,122,3196,339538,339538,0,0,3e71758a7edbee6ee0a7fe2359003536a9b64b19,0,0,0,0,0,
20200827,AK,5801,330419,,,336220,1416,43,,,,9,,2109,A,8/27/2020 03:59,2020-08-27T03:59:00Z,08/26 23:59,37,,2020-08-27T03:59:00Z,336220,5324,330567,5801,37,,,,,,,,,,,,,,02,82,1334,336220,336220,0,0,5013b882b334ef71916ca877fbb80907f6c7bbb0,0,0,0,0,0,
20200826,AK,5719,329085,,,334804,973,44,,,,6,,2088,A,8/26/2020 03:59,2020-08-26T03:59:00Z,08/25 23:59,37,,2020-08-26T03:59:00Z,334804,5305,329171,5719,37,,,,,,,,,,,,,,02,53,920,334804,334804,1,0,4de966fe56d94a8d727306c777ddb0c6e15b7312,0,0,0,0,0,
20200825,AK,5666,328165,,,333831,3328,46,,,,6,,1967,A,8/25/2020 03:59,2020-08-25T03:59:00Z,08/24 23:59,36,,2020-08-25T03:59:00Z,333831,5270,328233,5666,36,,,,,,,,,,,,,,02,38,3290,333831,333831,4,0,919618c6ca8dfb8afa4197eb0a143be39f855003,0,0,0,0,0,
20200824,AK,5628,324875,,,330503,3063,43,,,,8,,1861,A,8/24/2020 03:59,2020-08-24T03:59:00Z,08/23 23:59,32,,2020-08-24T03:59:00Z,330503,5221,324954,5628,32,,,,,,,,,,,,,,02,70,2993,330503,330503,0,0,b783c8199efff43d28fac82e83893735c3ffc99a,0,0,0,0,0,
20200823,AK,5558,321882,,,327440,1153,48,,,,7,,1745,A,8/23/2020 03:59,2020-08-23T03:59:00Z,08/22 23:59,32,,2020-08-23T03:59:00Z,327440,5170,321943,5558,32,,,,,,,,,,,,,,02,64,1089,327440,327440,1,0,e01be73387454b043a7a6afa397313c1a90e6f98,0,0,0,0,0,
20200822,AK,5494,320793,,,326287,4752,46,,,,6,,1686,A,8/22/2020 03:59,2020-08-22T03:59:00Z,08/21 23:59,31,,2020-08-22T03:59:00Z,326287,5151,320811,5494,31,,,,,,,,,,,,,,02,91,4661,326287,326287,1,0,2b04c36b5d53d09c3eeffe92bd697c4212f62910,0,0,0,0,0,
20200821,AK,5403,316132,,,321535,8888,46,,,,6,,1601,A,8/21/2020 00:00,2020-08-21T00:00:00Z,08/20 20:00,30,,2020-08-21T00:00:00Z,321535,5073,316141,5403,30,,,,,,,,,,,,,,02,71,8817,321535,321535,1,0,7b565a9bcca07224df93990545ec55a4effc4913,0,0,0,0,0,
